time;user;action;place
28-12-23 21:10:23;nakyss;Join-Voice-Channel;Les Boys / salon aaifquaka
28-12-23 21:10:25;nakyss;Left-Voice-Channel;Les Boys / salon aaifquaka
28-12-23 21:10:26;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:10:26;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:10:27;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:10:28;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:10:28;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:10:29;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:10:32;onizukal;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:10:33;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 21:10:35;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:10:41;onizukal;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:10:42;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 21:10:42;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:10:43;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:11:07;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:11:08;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:11:09;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:11:09;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:11:10;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:11:11;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:12:13;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:15:18;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:15:26;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:35:51;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:37:47;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:38:00;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:42:34;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:42:36;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 21:42:55;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 21:42:55;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:45:59;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:45:59;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 21:45:59;beta bot;Join-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 21:46:27;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 21:46:27;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:47:02;beta bot;Left-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 21:52:32;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:52:32;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 21:52:32;beta bot;Join-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 21:52:35;beta bot;Left-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 21:52:35;beta bot;Join-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 21:52:45;beta bot;Left-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 21:52:48;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 21:52:50;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:53:02;onizukal;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:53:02;onizukal;Join-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 21:53:02;beta bot;Join-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 21:53:09;beta bot;Left-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 21:53:10;onizukal;Left-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 21:53:10;onizukal;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:56:45;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:56:45;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 21:56:53;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:56:53;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 21:59:08;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:59:08;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 21:59:08;beta bot;Join-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 21:59:16;beta bot;Left-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 21:59:24;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 21:59:24;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
